#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+---------------------------------------------------------------------------------+-------------------+-------------------+
| run:fill    | time              | ncms | hltpath                                                                         | delivered(/ub)    | recorded(/ub)     |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu40NoFiltersNoVtxDisplaced_v1                                        | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu43NoFiltersNoVtx_v4                                                 | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu48NoFiltersNoVtx_v4                                                 | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu4_3_Bs_v13                                                          | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu4_3_Jpsi_v1                                                         | 810008.023087261  | 790584.360728757  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu4_JpsiTrkTrk_Displaced_v6                                           | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu4_JpsiTrk_Displaced_v14                                             | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu4_Jpsi_Displaced_v6                                                 | 135001.337181210  | 131764.060121460  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu4_Jpsi_NoVertexing_v6                                               | 33750.334295303   | 32941.015030365   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v14                               | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu4_Mass3p8_DZ_PFHT350_v7                                             | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu4_PsiPrimeTrk_Displaced_v14                                         | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v3                            | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoublePFJets100_CaloBTagDeepCSV_p71_v1                                      | 23823.765384919   | 23252.481197905   |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoublePFJets116MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v1                      | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoublePFJets128MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v1                      | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoublePFJets200_CaloBTagDeepCSV_p71_v1                                      | 115715.431869609  | 112940.622961251  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoublePFJets350_CaloBTagDeepCSV_p71_v1                                      | 115715.431869609  | 112940.622961251  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoublePFJets40_CaloBTagDeepCSV_p71_v1                                       | 964.295265580     | 941.171858010     |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoublePhoton33_CaloIdL_v6                                                   | 126563.753607385  | 123528.806363868  |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoublePhoton70_v6                                                           | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoublePhoton85_v14                                                          | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleTightChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_v11                    | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleTightChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_v11                    | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_DoubleTightChargedIsoPFTau40_Trk1_eta2p1_Reg_v11                            | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_ECALHT800_v10                                                               | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Ele115_CaloIdVT_GsfTrkIdT_v13                                               | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v17                                    | 3000.029715138    | 2928.090224921    |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Ele135_CaloIdVT_GsfTrkIdT_v6                                                | 8100080.230872611 | 7905843.607287572 |
| 316187:6674 | 05/12/18 03:44:35 | 23   | HLT_Ele145_CaloIdVT_GsfTrkIdT_v7                                                | 8100080.230872611 | 7905843.607287572 |
