#Data tag : 19v3 , Norm tag: onlineresult
+-------------+-------------------+------+-------------------------------------------+------------------+------------------+
| run:fill    | time              | ncms | hltpath                                   | delivered(/ub)   | recorded(/ub)    |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_HISinglePhoton60_Eta3p1ForPPRef_v6    | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_HISinglePhoton60_Eta3p1ForPPRef_v6    | 409067.405588511 | 376900.479108237 |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_HcalIsolatedbunch_v4                  | 136355.801862837 | 125633.493036079 |
| 299996:6012 | 07/27/17 12:10:58 | 1268 | HLT_HcalNZS_v12                           | 55285.741304296  | 54728.163654400  |
| 300018:6016 | 07/28/17 05:38:26 | 281  | HLT_HcalNZS_v12                           | 17752.972389969  | 17568.576674942  |
| 300027:6016 | 07/28/17 11:43:43 | 112  | HLT_HcalNZS_v12                           | 6912.946367898   | 6854.477770220   |
| 300043:6016 | 07/28/17 14:14:46 | 334  | HLT_HcalNZS_v12                           | 20454.761856942  | 20271.379748669  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_HcalNZS_v12                           | 409067.405588511 | 376900.479108237 |
| 299996:6012 | 07/27/17 12:10:58 | 1268 | HLT_HcalPhiSym_v14                        | 55285.741304296  | 54728.163654400  |
| 300018:6016 | 07/28/17 05:38:26 | 281  | HLT_HcalPhiSym_v14                        | 17752.972389969  | 17568.576674942  |
| 300027:6016 | 07/28/17 11:45:40 | 107  | HLT_HcalPhiSym_v14                        | 6880.939011089   | 6822.501925389   |
| 300043:6016 | 07/28/17 14:22:56 | 313  | HLT_HcalPhiSym_v14                        | 20318.730612478  | 20135.477505823  |
| 300088:6019 | 07/29/17 07:43:15 | 312  | HLT_HcalPhiSym_v14                        | 409067.405588511 | 376900.479108237 |
| 299996:6012 | 07/27/17 12:10:58 | 1268 | HLT_IsoTrackHB_v2                         | 55285.741304296  | 54728.163654400  |
| 300018:6016 | 07/28/17 05:38:26 | 281  | HLT_IsoTrackHB_v2                         | 17752.972389969  | 17568.576674942  |
| 300027:6016 | 07/28/17 11:43:43 | 112  | HLT_IsoTrackHB_v2                         | 6912.946367898   | 6854.477770220   |
| 300043:6016 | 07/28/17 14:14:46 | 334  | HLT_IsoTrackHB_v2                         | 20454.761856942  | 20271.379748669  |
